ADJ VALUE,ADJ VALUE TOTAL,PLAYER,TEAM ABBV,POS,INJ RISK,TIER,VALUE,MPG,PTS,3PTM,TREB,AST,STL,BLK,FG%,FT%,nationality_1,archetype,height_feet,weight_lbs,wingspan_feet,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,season_salary,birthdate,hometown,prior_to_nba,salary
7.246573907,7.349367332,Jakob Poeltl,TOR,C,H,C 5,0.1897791994,30,12.83705882,0.02470588235,9.849411765,2.896911765,1.03,1.399117647,0.6597965649,0.6659996665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.099589478,7.348804453,Ivica Zubac,IND,C,M,C 6,0.1099289661,30,16.02726027,0.0,11.21561644,1.94,0.537260274,1.041643836,0.6473978167,0.7049835449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.256758058,7.314462203,Derrick White,BOS,PG/SG,M,PG 4,0.2328246972,33,18.5096875,3.54546875,4.744375,6.9396875,1.05640625,0.920625,0.4299178374,0.841995842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.174865787,7.212408274,Jaren Jackson Jr.,UTA,PF/C,H,PF 4,0.2571248179,32,22.87867647,2.369705882,6.23,1.75,1.2025,1.529117647,0.4730996976,0.7840119727,United States,2-Way 3-Level Scoring Threat,"6'11""",242.0,"7'4""",86.0,85.0,94.0,89.0,79.0,79.0,75.0,95.0,80.0,63.0,76.0,82.0,75.0,90.0,80.0,94.0,80.0,82.0,85.0,80.0,85.0,83.0,86.0,60.0,80.0,44.0,45.0,60.0,33.0,50.0,30.0,82.0,96.0,71.0,49.0,98.0,95.0,71.0,95.0,65.0,57.0,72.0,50.0,88.0,2772.0,,,,,,silver,,,,silver,silver,silver,bronze,silver,,silver,,,,,,,,,,,,gold,gold,,,,gold,,gold,,,silver,,gold,,,,Michigan State,
9.678248758,7.161349996,LaMelo Ball,CHA,PG/SG,H,PG 3,0.1346513651,33,23.88694915,3.725254237,4.95,8.136779661,1.252542373,0.2727118644,0.4166449641,0.850014806,United States,3-Level Scoring Playmaker,"6'7""",180.0,"6'10""",86.0,83.0,86.0,78.0,83.0,86.0,75.0,90.0,80.0,84.0,84.0,50.0,79.0,93.0,89.0,82.0,68.0,85.0,45.0,75.0,52.0,58.0,52.0,82.0,98.0,87.0,88.0,88.0,84.0,88.0,85.0,68.0,45.0,70.0,83.0,37.0,79.0,89.0,75.0,54.0,46.0,61.0,65.0,90.0,2779.0,silver,bronze,,bronze,bronze,,gold,,bronze,,bronze,,,,,,silver,bronze,silver,gold,,silver,silver,silver,gold,,,,,,,,,,,,,,,,,,,Illawarra Hawks (Australia),
9.703030427,6.949576938,Zion Williamson,NOR,SF/PF,H,PF 4,0.0554911501,32,27.48465517,0.1572413793,7.07,5.992586207,1.212068966,0.8753448276,0.5787471422,0.6790089324,United States,Rim Attacker,"6'7""",285.0,"6'10""",88.0,81.0,92.0,70.0,70.0,70.0,90.0,95.0,88.0,86.0,76.0,90.0,99.0,90.0,95.0,80.0,90.0,98.0,95.0,97.0,84.0,75.0,89.0,96.0,85.0,72.0,65.0,78.0,74.0,72.0,69.0,55.0,59.0,55.0,41.0,57.0,64.0,70.0,40.0,73.0,67.0,78.0,40.0,96.0,2847.0,,,,silver,,hof,gold,bronze,gold,silver,gold,gold,gold,gold,gold,gold,,,bronze,,,silver,,,,,,gold,,,,,,,,silver,silver,gold,,gold,,,,Duke,
7.993111411,6.91679046,Walker Kessler,UTA,C,H,C 6,0.1189279927,30,13.17126984,0.1274603175,11.58746032,1.931269841,0.6438095238,2.188571429,0.680396772,0.5280135823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.564279796,6.878697119,Immanuel Quickley,TOR,PG/SG,M,PG 6,0.06780137987,32,17.9069863,2.931232877,4.463287671,6.248630137,0.961369863,0.135890411,0.4368753023,0.8759930246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.678592174,6.8227488,Jalen Brunson,NYK,PG,H,PG 5,0.02098428879,35,25.25088235,2.284117647,2.815294118,6.713382353,0.9336764706,0.1448529412,0.4827650577,0.8230012164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.764883196,6.804098824,Bam Adebayo,MIA,PF/C,M,PF 4,0.1906122571,34,19.16561644,1.298219178,8.468767123,4.373287671,1.31890411,0.5561643836,0.4795868487,0.7939916948,United States,2-Way Inside-The-Arc Threat,"6'9""",255.0,"7'3""",86.0,74.0,93.0,77.0,69.0,74.0,55.0,75.0,84.0,74.0,73.0,85.0,83.0,92.0,90.0,90.0,81.0,83.0,85.0,80.0,80.0,80.0,82.0,86.0,70.0,71.0,72.0,69.0,66.0,74.0,73.0,81.0,92.0,79.0,59.0,72.0,92.0,80.0,90.0,72.0,63.0,80.0,70.0,86.0,2893.0,,,,bronze,,gold,,silver,,silver,silver,silver,silver,silver,,gold,,bronze,silver,,,,,,,gold,,,,silver,,,gold,,gold,silver,bronze,gold,,bronze,,,,Kentucky,
4.859139782,6.796117173,Jarrett Allen,CLE,C,L,C 7,-0.00620080566,28,13.5138961,0.0,9.24987013,1.941688312,0.8248051948,0.8250649351,0.6831179129,0.7099984142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
